PatchName	Forest	Urban	Ag	Tiger	Year	Forest2	Urban2	Ag2
sanjay dubri	265.5475	98.7381	320.221	0	2013	-0.31185	-0.61219	-0.58919
Nauradehi	88.3728	9.2187	538.727	0	2013	-0.36666	-0.84921	-0.52138
Ratapani	254.916	253.4751	270.6619	0	2013	-0.31514	-0.20249	-0.60458
Dewas	508.3893	137.6657	1081.2904	0	2013	-0.23674	-0.50912	-0.353
Bor	50.243	58.639	575.3466	0	2013	-0.37845	-0.71836	-0.51002
Achanakmar	1604.3526	60.6325	1710.2207	0	2014	0.10227	-0.71308	-0.15782
Panna	791.5929	391.833	3635.8925	1	2014	-0.14914	0.16384	0.43981
Kanha and Pench	13234.5707	839.5541	16067.0305	7	2014	3.69971	1.34927	4.29775
tipeshwar	43.7139	120.5316	790.7127	0	2014	-0.38047	-0.55449	-0.44318
Palpur_Kuno	57.5523	173.05	788.9742	0	2014	-0.37619	-0.41543	-0.44372
Panpatha and bandhavgarh	741.4541	500.2725	1807.8261	7	2014	-0.16465	0.45096	-0.12752
navegaon	101.5686	104.7601	583.7518	0	2014	-0.36257	-0.59625	-0.50741
narsinghgarh	38.3348	93.078	583.2702	0	2014	-0.38213	-0.62718	-0.50756
nagzira	704.0769	157.9923	2285.8849	0	2014	-0.17621	-0.4553	0.02084
dehgaon	629.0397	1586.7801	794.8845	0	2014	-0.19942	3.32771	-0.44189
Satpura	762.799	894.67	3598.541	0	2014	-0.15804	1.4952	0.42822
Melghat	230.3242	333.3999	4055.2572	1	2014	-0.32275	0.00913	0.56996
umred	151.5672	74.4264	578.2836	2	2014	-0.34711	-0.67656	-0.50911
tadoba	1854.9733	459.345	3687.1129	5	2014	0.17979	0.34259	0.4557
sanjay dubri	436.482	94.5027	152.8407	0	2014	-0.25898	-0.6234	-0.64114
Nauradehi	18.1061	239.8131	380.5604	0	2014	-0.38839	-0.23867	-0.57047
Ratapani	245.4957	196.4502	337.918	0	2014	-0.31805	-0.35348	-0.5837
Dewas	186.3108	461.115	1080.5549	0	2014	-0.33636	0.34728	-0.35323
Bor	157.5954	102.3093	428.4702	0	2014	-0.34524	-0.60274	-0.5556
Achanakmar	1534.4332	320.2722	1523.2974	0	2015	0.08064	-0.02563	-0.21583
Panna	626.8328	767.1006	3425.4313	1	2015	-0.2001	1.15744	0.37449
Kanha and Pench	12230.0961	1068.8124	16872.2143	5	2015	3.389	1.95628	4.54763
tipeshwar	10.1037	93.33	850.7823	0	2015	-0.39087	-0.62651	-0.42454
Palpur_Kuno	28.5622	223.1701	768.2643	0	2015	-0.38516	-0.28273	-0.45015
Panpatha and bandhavgarh	602.1775	509.2092	1938.2365	3	2015	-0.20773	0.47462	-0.08705
navegaon	125.9401	96.4825	567.7244	0	2015	-0.35504	-0.61816	-0.51238
narsinghgarh	12.3435	40.2291	661.5845	1	2015	-0.39017	-0.76711	-0.48325
nagzira	927.2924	220.022	2000.38	0	2015	-0.10716	-0.29107	-0.06777
dehgaon	509.87	1089.4854	1861.0131	0	2015	-0.23628	2.01102	-0.11102
Satpura	573.3361	999.4575	3684.9574	2	2015	-0.21665	1.77265	0.45503
Melghat	1390.7907	831.0411	2396.823	0	2015	0.03621	1.32673	0.05527
umred	110.0963	173.3911	520.9869	0	2015	-0.35994	-0.41453	-0.52689
tadoba	1619.2224	425.2905	3957.3788	11	2015	0.10686	0.25242	0.53958
sanjay dubri	228.7892	55.6115	399.863597	1	2015	-0.32322	-0.72638	-0.56448
Nauradehi	55.3678	75.6342	507.111	0	2015	-0.37686	-0.67336	-0.53119
Ratapani	149.2425	235.7259	394.8993	1	2015	-0.34783	-0.24949	-0.56602
Dewas	237.7339	237.933	1251.3385	1	2015	-0.32046	-0.24364	-0.30023
Bor	77.6104	23.3271	585.7066	0	2015	-0.36998	-0.81186	-0.5068
Achanakmar	1426.3209	300.5163	1651.3913	0	2016	0.0472	-0.07794	-0.17607
Panna	510.9011	801.3158	3506.7893	2	2016	-0.23596	1.24803	0.39974
Kanha and Pench	10270.3034	1380.5916	18519.9155	24	2016	2.7828	2.78178	5.05899
tipeshwar	20.9133	77.094	856.4196	0	2016	-0.38752	-0.6695	-0.42279
Palpur_Kuno	92.1323	263.9556	666.6246	0	2016	-0.36549	-0.17474	-0.48169
Panpatha and bandhavgarh	1015.9729	418.9041	1614.699	7	2016	-0.07973	0.23552	-0.18746
navegaon	172.3033	98.7053	519.1996	0	2016	-0.34069	-0.61228	-0.52744
narsinghgarh	73.3527	222.3574	418.3194	1	2016	-0.3713	-0.28488	-0.55875
nagzira	763.9463	231.9136	2151.7671	2	2016	-0.15769	-0.25958	-0.02078
dehgaon	869.9445	600.8625	1989.7356	0	2016	-0.1249	0.71729	-0.07107
Satpura	512.7563	780.0676	3963.9154	0	2016	-0.23539	1.19177	0.54161
Melghat	560.1825	595.3006	3462.6179	2	2016	-0.22072	0.70256	0.38603
umred	154.6983	156.2193	493.7994	0	2016	-0.34614	-0.46	-0.53533
tadoba	1862.1179	888.8763	3250.2842	11	2016	0.182	1.47986	0.32014
sanjay dubri	422.8794	35.6114	226.1426	0	2016	-0.26319	-0.77933	-0.61839
Nauradehi	30.3527	42.3574	565.3194	0	2016	-0.3846	-0.76147	-0.51313
Ratapani	181.1781	135.0369	463.2175	0	2016	-0.33795	-0.51608	-0.54482
Dewas	290.8226	281.978	1155.1277	0	2016	-0.30403	-0.12703	-0.33009
Bor	54.6411	24.7656	607.5471	1	2016	-0.37709	-0.80805	-0.50002
